symbol,name,exchange,currency
TCOA.UN,Trajectory Alpha Acquisition Corp.,New York Stock Exchange,
LGV.UN,Longview Acquisition Corp. II,New York Stock Exchange,
SOT.UN.TO,Slate Office REIT,Toronto Stock Exchange,
IPVA.UN,InterPrivate II Acquisition Corp.,New York Stock Exchange,
PACE.UN,TPG Pace Tech Opportunities Corp.,New York Stock Exchange,
EGGF.UN,EG Acquisition Corp.,New York Stock Exchange,
GOAC.UN,GO Acquisition Corp.,New York Stock Exchange,
MIT.UN,"Mason Industrial Technology, Inc.",New York Stock Exchange,
APCA.UN,AP Acquisition Corp.,New York Stock Exchange,
GAQ.UN,Generation Asia I Acquisition Limited,New York Stock Exchange,
MDH.UN,MDH Acquisition Corp.,New York Stock Exchange,
PACI.UN,PROOF Acquisition Corp I,New York Stock Exchange,
WPCB.UN,Warburg Pincus Capital Corporation I-B,New York Stock Exchange,
AJAX.UN,Ajax I,New York Stock Exchange,
MACC.UN,Mission Advancement Corp.,New York Stock Exchange,
SKG.UN.TO,Skylon Growth & Income Trust,Toronto Stock Exchange,
BMAC.UN,Black Mountain Acquisition Corp.,New York Stock Exchange,
INAQ.UN,Insight Acquisition Corp.,New York Stock Exchange,
GFX.UN,Golden Falcon Acquisition Corp.,New York Stock Exchange,
PMVC.UN,PMV Consumer Acquisition Corp.,New York Stock Exchange,
NSTC.UN,Northern Star Investment Corp. III,New York Stock Exchange,
CCAC.UN,CITIC Capital Acquisition Corp.,New York Stock Exchange,
NFNT.UN,Infinite Acquisition Corp.,New York Stock Exchange,
ACDI.UN,Ascendant Digital Acquisition Corp. III,New York Stock Exchange,
AFTR.UN,AfterNext HealthTech Acquisition Corp.,New York Stock Exchange,
AMPI.UN,"Advanced Merger Partners, Inc",New York Stock Exchange,
CORS.UN,Corsair Partnering Corporation,New York Stock Exchange,
DSAQ.UN,Direct Selling Acquisition Corp.,New York Stock Exchange,
APGB.UN,Apollo Strategic Growth Capital II,New York Stock Exchange,
AVAN.UN,Avanti Acquisition Corp.,New York Stock Exchange,
GFOR.UN,Graf Acquisition Corp. IV,New York Stock Exchange,
HIGA.UN,H.I.G. Acquisition Corp.,New York Stock Exchange,
KCGI.UN,Kensington Capital Acquisition Corp. V,New York Stock Exchange,
LNFA.UN,L&F Acquisition Corp.,New York Stock Exchange,
LOKM.UN,Live Oak Mobility Acquisition Corp.,New York Stock Exchange,
OCA.UN,Omnichannel Acquisition Corp.,New York Stock Exchange,
FMAC.UN,FirstMark Horizon Acquisition Corp.,New York Stock Exchange,
FVIV.UN,Fortress Value Acquisition Corp. IV,New York Stock Exchange,
STRE.UN,"Supernova Partners Acquisition Company III, Ltd.",New York Stock Exchange,
HPX.UN,HPX Corp.,New York Stock Exchange,
KCAC.UN,Kensington Capital Acquisition Corp. IV,New York Stock Exchange,
SCUA.UN,Sculptor Acquisition Corp I,New York Stock Exchange,
OACB.UN,Oaktree Acquisition Corp. II,New York Stock Exchange,
PSPC.UN,Post Holdings Partnering Corporation,New York Stock Exchange,
APSG.UN,Apollo Strategic Growth Capital,New York Stock Exchange,
TSPQ.UN,TCW Special Purpose Acquisition Corp.,New York Stock Exchange,
ROSS.UN,Ross Acquisition Corp II,New York Stock Exchange,
XPOA.UN,"DPCM Capital, Inc.",New York Stock Exchange,
JUN.UN,Juniper II Corp.,New York Stock Exchange,
TMAC.UN,The Music Acquisition Corporation,New York Stock Exchange,
EQHA.UN,EQ Health Acquisition Corp.,New York Stock Exchange,
FLME.UN,Flame Acquisition Corp.,New York Stock Exchange,
